Num	MZ	True_MZ	0.806612601	L_MZ	D_MZ_Error_ppm	FoundInScans	D_MZ_Peak_Error_mean_ppm	D_MZ_Peak_Error_sd_ppm	D_MZ_Min_ppm	D_MZ_Max_ppm	Quant20_MZ_Diff_ppm	Quant80_MZ_Diff_ppm	RT	True_RT	0.106051154	negative = earlier	Shift	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	Area_N	Area_L	Fold	PeakRatio	LeftBorder_N	RightBorder_N	LeftBorder_L	RightBorder_L	Group_ID	Corr	Adducts	Hetero_Elements	ObservedIsoRatioMean_native_1	ObservedIsoRatioSD_native_1	TheoreticalIsoRatio_native_1	ObservedIsoRatioMean_labelled_1	ObservedIsoRatioSD_labelled_1	TheoreticalIsoRatio_labelled_1	CM12C_13CFg1.Area	CM12C_13CFg1.RT-Shift	CM12C_13CFg1.MZ-Shift	CM12C_13CFg1.MZ
16	281.6384078	280.1384078	1	286.1584495	-0.207818701	7	-0.188521793	0.566291259	-1.81237142	0.91106611	-0.592271406	0.257441103	3.802856346	4.0035	0		0.010559652	6	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	42942.20146	41717.14622	1.029365749	1.083045183	17	17	17	17	13	0.908379244	-	-	0.10736	0.03352	0.06489	0.11345	0.04811	0.08519				
2792	161.044												3.8357258					5		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										13										100521.195	0.20220757	0.28424758	161.04405
2794	224.07591												3.753325					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										13										735249.94	0.19827485	-0.13619304	224.07588
2796	143.03352												3.8357258					5		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										13										63033.742	0.20220757	0.10667981	143.03354
2798	189.0389												3.8693812					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										13										67754.99	0.116518974	-0.80717725	189.03874
2800	252.10712												3.7697384					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										13										62852.176	0.19906163	-0.66577524	252.10695
2802	280.1384												3.8028564					6		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										13										43987.46	0.20064354	-0.653625	280.1382
219	315.6436661	314.1436661	1	325.1805274	0.035881672	15	0.235312799	0.747607672	-0.728667405	3.157144269	-0.242940946	0.534221389	3.884990586	4.090633333	0		0.009506077	11	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	78250.06181	93404.78072	0.837752214	0.830428935	15	17	15	17	14	0.972069457	-	-	0.10492	0.02586	0.11897	0.13344	0.02668	0.15619				
2804	314.14368												3.8849907					11		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										14										85242.01	0.2056427	0.48572642	314.14383
60	167.5900609	166.0900609	1	175.120514	1.82473893	4	1.914545993	0.453380735	1.294419625	2.856219365	1.514909	2.102880667	4.127083598	4.350216667	0		0.003534789	9	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	40211.70721	31568.08518	1.27380888	1.347497966	14	14	13.5	13.5	15	0.985952055	-	-	0.11467	0.02124	0.09734	0.12771	0.00657	0.12779				
59	167.5858507	166.0858507	1	175.1159365	-0.386498909	53	-0.356634855	0.108673786	-0.543005599	-0.08364109	-0.451132697	-0.267386894	4.114315928	4.350216667	0		-0.009232882	9	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	9318317.42	8202246.845	1.136068884	1.132094287	17	17	17	17	16	0.999603431	-	34S1 (scans: 25, obs: 0.3%, exp: 4.4%)	0.09403	0.00445	0.09734	0.1258	0.00529	0.12779				
92	266.6539218	265.1539218	1	274.184106	0.129068428	4	0.009124956	0.666655913	-1.721251118	2.076844989	-0.432200318	0.350437667	4.162871857	4.400983333	0		-0.009232882	9	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	57928.31264	50695.21091	1.142678206	1.166610995	17	17	16.5	16.5	16	0.926293922	-	34S4 (scans: 19, obs: 18.1%, exp: 17.7%)	0.10664	0.03503	0.09734	0.1191	0.03177	0.12779				
31	121.5803969	120.0803969	1	128.107125	-0.599273502	31	-0.587585873	0.301187994	-1.062927189	0.716072984	-0.732541443	-0.491105705	4.114315928	4.350216667	0		-0.009232882	8	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	875947.4169	668162.1003	1.310980399	1.131767329	17	17	14.5	14.5	16	0.99311936	-	-	0.05256	0.00525	0.08653	0.06046	0.00793	0.11359				
305	459.7007936	458.2007936	1	470.2410447	0.111411854	5	-0.060606369	1.457201362	-3.081963678	4.044564484	-0.657612042	0.781014204	4.146530894	4.3839	0		-0.009232882	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	26258.99788	27925.64858	0.940318281	0.908955539	13.5	13.5	12.5	12.5	16	0.967507534	-	-	0.23058	0.03892	0.12979	0.16521	0.04304	0.17039				
3	468.730991	467.230991	1	470.2408337	-0.443834001	3	0.387427354	0.869185309	-0.804586471	2.265257352	-0.39962835	1.102635649	4.146530894	4.3839	0		-0.009232882	3	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	23819.26021	27925.64858	0.852952802	0.878507577	13.5	13.5	12.5	12.5	16	0.945445351	-	-	0.17139	0.04883	0.03245	0.17455	0.04541	0.0426				
1439	459.7008355	458.2008355	1	479.2712962	0.241518547	7	0.093748047	1.204483876	-3.14558264	2.182662227	-0.534742655	1.023768969	4.146530894	4.3839	0		-0.009232882	21	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	26258.99788	22648.89264	1.159394337	1.223049125	13.5	13.5	13.5	13.5	16	0.897164425	-	-	0.23058	0.03892	0.22713	0.26744	0.0536	0.29817				
